,estimator,min_score,mean_score,max_score,std_score,C,gamma,kernel,learning_rate,max_features,n_estimators,n_neighbors,priors,weights
158,BAG,0.7374631268436578,0.7681207444676069,0.8076923076923077,0.029355615934013517,,,,,0.8,15,,,
47,SVC,0.7581699346405228,0.7890032673208621,0.8070175438596492,0.02190537805922437,1,0.001,rbf,,,,,,
93,GB,0.7828571428571429,0.7939079994604074,0.7999999999999999,0.007827816973259037,,,,0.1,sqrt,100,,,
162,BAG,0.7426900584795322,0.7689828416461761,0.7976878612716762,0.022517456066216253,,,,,0.8,60,,,
151,BAG,0.736842105263158,0.7651937867591615,0.7965616045845272,0.024473488493561464,,,,,0.9,15,,,
103,GB,0.7537091988130563,0.7807003877521019,0.7953890489913545,0.019110496567322693,,,,0.1,,40,,,
167,BAG,0.7426900584795322,0.7609507767616019,0.7931034482758621,0.022805222225668637,,,,,0.5,25,,,
170,BAG,0.7396449704142011,0.7598677340758789,0.7928994082840237,0.02355221051548024,,,,,0.5,100,,,
42,SVC,0.7311827956989247,0.762863617921323,0.7855530474040633,0.023089173872461084,10000.0,1e-05,poly,,,,,,
20,SVC,0.7311827956989247,0.762863617921323,0.7855530474040633,0.023089173872461084,10,0.0001,poly,,,,,,
99,GB,0.7267441860465117,0.7618005230419534,0.7840909090909092,0.025091682402192846,,,,0.1,log2,100,,,
55,SVC,0.7354838709677418,0.7633814371643254,0.7828054298642534,0.02022677383982956,10,0.0001,rbf,,,,,,
5,NN,0.7558139534883721,0.7714177828124654,0.7793696275071634,0.011034252616172519,,,,,,,10,,uniform
163,BAG,0.7440476190476191,0.7655500861146023,0.7784090909090909,0.015301628827540062,,,,,0.8,100,,,
63,SVC,0.7300215982721382,0.7556352391286317,0.7757847533632287,0.019078069447717384,100,1e-05,rbf,,,,,,
160,BAG,0.7665706051873199,0.7693566617678048,0.7749287749287749,0.0039400790016606855,,,,,0.8,25,,,
156,BAG,0.743362831858407,0.7631020331802684,0.7749287749287749,0.014048901566917543,,,,,0.9,100,,,
